individualID,plotID,eventID,avg_height,n_stems
NEON.PLA.D14.JORN.00001,JORN_061,vst_JORN_2018,0.8,5
NEON.PLA.D14.JORN.00003,JORN_055,vst_JORN_2018,1.2,30
NEON.PLA.D14.JORN.00004,JORN_055,vst_JORN_2018,0.8,6
NEON.PLA.D14.JORN.00005,JORN_055,vst_JORN_2018,1.5,12
NEON.PLA.D14.JORN.00006,JORN_055,vst_JORN_2018,1.8,4
NEON.PLA.D14.JORN.00007,JORN_055,vst_JORN_2018,0.7,4
NEON.PLA.D14.JORN.00008,JORN_055,vst_JORN_2018,1.4,8
NEON.PLA.D14.JORN.00009,JORN_057,vst_JORN_2018,1.4,18
NEON.PLA.D14.JORN.00010,JORN_057,vst_JORN_2018,1.5,27
NEON.PLA.D14.JORN.00011,JORN_057,vst_JORN_2018,1.3,12
NEON.PLA.D14.JORN.00012,JORN_057,vst_JORN_2018,0.9,16
NEON.PLA.D14.JORN.00013,JORN_057,vst_JORN_2018,1.4,9
NEON.PLA.D14.JORN.00014,JORN_042,vst_JORN_2018,1.4,17
NEON.PLA.D14.JORN.00016,JORN_071,vst_JORN_2018,0.5,2
NEON.PLA.D14.JORN.00018,JORN_045,vst_JORN_2018,0.7,1
NEON.PLA.D14.JORN.00019,JORN_045,vst_JORN_2018,0.8,2
NEON.PLA.D14.JORN.00020,JORN_045,vst_JORN_2018,1.4,12
NEON.PLA.D14.JORN.00021,JORN_046,vst_JORN_2018,1.1,10
NEON.PLA.D14.JORN.00022,JORN_057,vst_JORN_2018,1.1,19
NEON.PLA.D14.JORN.00027,JORN_001,vst_JORN_2018,1.2,6
NEON.PLA.D14.JORN.00028,JORN_011,vst_JORN_2018,0.7,4
NEON.PLA.D14.JORN.00029,JORN_011,vst_JORN_2018,1.1,3
NEON.PLA.D14.JORN.00030,JORN_065,vst_JORN_2018,1,21
NEON.PLA.D14.JORN.00037,JORN_008,vst_JORN_2018,1,4
NEON.PLA.D14.JORN.00038,JORN_008,vst_JORN_2018,1.6,6
NEON.PLA.D14.JORN.00039,JORN_012,vst_JORN_2018,0.7,1
NEON.PLA.D14.JORN.00040,JORN_016,vst_JORN_2018,1.1,3
NEON.PLA.D14.JORN.00041,JORN_016,vst_JORN_2018,1.1,2
NEON.PLA.D14.JORN.00042,JORN_016,vst_JORN_2018,1.7,3
NEON.PLA.D14.JORN.00044,JORN_016,vst_JORN_2018,1.3,3
NEON.PLA.D14.JORN.00045,JORN_016,vst_JORN_2018,1.7,2
NEON.PLA.D14.JORN.00047,JORN_016,vst_JORN_2018,1.6,1
NEON.PLA.D14.JORN.00048,JORN_016,vst_JORN_2018,1.5,3
NEON.PLA.D14.JORN.00049,JORN_012,vst_JORN_2018,1.8,5
NEON.PLA.D14.JORN.00050,JORN_012,vst_JORN_2018,0.7,7
NEON.PLA.D14.JORN.00051,JORN_012,vst_JORN_2018,NA,1
NEON.PLA.D14.JORN.00052,JORN_015,vst_JORN_2018,NA,1
NEON.PLA.D14.JORN.00053,JORN_015,vst_JORN_2018,NA,1
NEON.PLA.D14.JORN.00101,JORN_053,vst_JORN_2018,0.8,3
NEON.PLA.D14.JORN.00102,JORN_066,vst_JORN_2018,NA,1
NEON.PLA.D14.JORN.00103,JORN_058,vst_JORN_2018,1,6
NEON.PLA.D14.JORN.01167,JORN_064,vst_JORN_2018,1.3,24
NEON.PLA.D14.JORN.01168,JORN_064,vst_JORN_2018,0.7,6
